"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'FOB (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'FOB (Baht)')"
AU,AUSTRALIA,3000,338987,76980,7604293
CN,CHINA,152300,4223916,786275,22808591
HK,HONG KONG,0,0,1,41
IN,INDIA,0,0,27350,2100236
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,270,13728,4974,447762
MY,MALAYSIA,1000,98428,2000,163943
NZ,NEW ZEALAND,0,0,675,70644
PH,PHILIPPINES,0,0,350,39638
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,0,0,6400,694694
SUM,SUM,156570,4675059,948419,36702867
