"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
CN,CHINA,51600,1315573,51600,1315573
HK,HONG KONG,0,0,223,20309
IN,INDIA,650,28964,1950,88677
ID,INDONESIA,0,0,500,8990
JP,JAPAN,0,0,150,4273
PH,PHILIPPINES,22500,1290385,218500,12148861
SUM,SUM,74750,2634922,272923,13586683
