"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
DK,DENMARK,24,2010,24,2010
FR,FRANCE,0,0,3,249
IN,INDIA,1,67,11,888
PH,PHILIPPINES,0,0,1,42
GB,UNITED KINGDOM,7,588,61,4980
US,UNITED STATES,0,0,7,576
SUM,SUM,32,2665,107,8745
