"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'FOB (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'FOB (Baht)')"
CN,CHINA,0,0,10500,1172392
ID,INDONESIA,98425,6499957,597975,37433324
JP,JAPAN,562,107283,22662,1809603
KR,"KOREA,REPUBLIC OF",0,0,3500,115152
MY,MALAYSIA,14000,826860,14025,834388
MX,MEXICO,0,0,50,2484
ZA,SOUTH AFRICA,0,0,37450,2760234
US,UNITED STATES,0,0,12325,1492755
VN,VIETNAM,0,0,1925,689286
SUM,SUM,112987,7434100,700412,46309618
