"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,6000,640913
CN,CHINA,1000,249007,17550,8317606
HK,HONG KONG,0,0,13750,978959
IN,INDIA,0,0,23600,3021627
ID,INDONESIA,2000,119344,52250,6105609
JP,JAPAN,300,75967,181800,10326271
KR,"KOREA,REPUBLIC OF",5000,862708,144000,16269369
LA,LAO PDR,0,0,21500,910000
MY,MALAYSIA,0,0,100,4403
PK,PAKISTAN,1150,71106,29700,2023101
PH,PHILIPPINES,15525,1019855,196000,11779585
SG,SINGAPORE,11000,1635340,22500,3075319
US,UNITED STATES,0,0,19600,1127946
VN,VIETNAM,70000,4164834,484000,27341893
SUM,SUM,105975,8198161,1212350,91922601
