"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
AU,AUSTRALIA,27000,1367617,280950,21303731
BD,BANGLADESH,0,0,39600,1788650
KH,CAMBODIA,19000,778185,38000,1578092
CN,CHINA,12226233,167645699,226816279,2353660227
DK,DENMARK,0,0,3,292
DJ,DJIBOUTI,0,0,50,7115
FJ,FIJI,16050,420574,43650,1296987
DE,GERMANY,0,0,1001,9355
HK,HONG KONG,50007,1895092,298257,3592186
IN,INDIA,219195,3663419,1180311,44344971
ID,INDONESIA,92550,4284885,845893,39232316
JP,JAPAN,99294,5225035,475989,26048490
KR,"KOREA,REPUBLIC OF",410,18645,18257,1099444
LA,LAO PDR,6500,431015,40059,2431496
MY,MALAYSIA,27752,2467447,508930,33729800
MU,MAURITIUS,0,0,2000,326023
MZ,MOZAMBIQUE,0,0,56000,1400988
MM,MYANMAR,0,0,123628,5112072
NL,NETHERLANDS,0,0,2,1036
NZ,NEW ZEALAND,0,0,150615,11229271
NG,NIGERIA,0,0,238000,5153554
PK,PAKISTAN,0,0,2275,190524
PH,PHILIPPINES,9100,727023,82500,7947839
PL,POLAND,0,0,528,88228
PT,PORTUGAL,0,0,5,315
RU,RUSSIAN FEDERATION,0,0,600,108517
SA,SAUDI ARABIA,0,0,16800,1194423
SG,SINGAPORE,10048,520081,58874,3328693
SI,SLOVENIA,0,0,44840,1269941
ZA,SOUTH AFRICA,600,54169,5600,878530
LK,SRI LANKA,0,0,3000,455675
TW,"TAIWAN, PROVINCE OF CHINA",106236,3965037,1060969,44391594
TR,TÜRKIYE,0,0,12100,1882803
UA,UKRAINE,0,0,17000,809766
GB,UNITED KINGDOM,0,0,3,189
US,UNITED STATES,1,1375,1071,40833
VN,VIETNAM,328921,7270347,1155712,55749344
SUM,SUM,13238897,200735645,233619351,2671683310
