"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
DZ,ALGERIA,14200,717990,14200,717990
AU,AUSTRALIA,42025,2396692,42025,2396692
BD,BANGLADESH,211100,8388004,211100,8388004
BE,BELGIUM,44000,2016092,44000,2016092
BR,BRAZIL,108000,4209248,108000,4209248
KH,CAMBODIA,90000,3978194,90000,3978194
CL,CHILE,66000,3025534,66000,3025534
CN,CHINA,19616150,739971288,19616150,739971288
CY,CYPRUS,20000,890805,20000,890805
DJ,DJIBOUTI,14200,695672,14200,695672
FI,FINLAND,20000,853556,20000,853556
FR,FRANCE,20000,1059763,20000,1059763
GH,GHANA,378000,13328727,378000,13328727
GR,GREECE,40000,1743572,40000,1743572
IN,INDIA,1841000,67441194,1841000,67441194
ID,INDONESIA,993040,41291698,993040,41291698
IE,IRELAND,71400,3167392,71400,3167392
IL,ISRAEL,433000,17572396,433000,17572396
JP,JAPAN,121625,5252695,121625,5252695
LA,LAO PDR,76050,4106005,76050,4106005
LV,LATVIA,56800,2857593,56800,2857593
LB,LEBANON,96000,4101797,96000,4101797
MG,MADAGASCAR,13500,715205,13500,715205
MY,MALAYSIA,1111175,45960275,1111175,45960275
MU,MAURITIUS,70000,3674156,70000,3674156
MZ,MOZAMBIQUE,58100,2615578,58100,2615578
NL,NETHERLANDS,20000,936902,20000,936902
NC,NEW CALEDONIA,14200,637067,14200,637067
PK,PAKISTAN,24750,977235,24750,977235
PH,PHILIPPINES,283400,10941999,283400,10941999
RE,REUNION,27000,1449787,27000,1449787
RU,RUSSIAN FEDERATION,57200,2556688,57200,2556688
ZA,SOUTH AFRICA,81000,3291623,81000,3291623
LK,SRI LANKA,165950,7085091,165950,7085091
TW,"TAIWAN, PROVINCE OF CHINA",110600,4174341,110600,4174341
TR,TÜRKIYE,767600,33379507,767600,33379507
AE,UNITED ARAB EMIRATES,477400,19499518,477400,19499518
VN,VIETNAM,481900,19378605,481900,19378605
SUM,SUM,28136365,1086339484,28136365,1086339484
