"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
CM,CAMEROON,0,0,16250,403407
CN,CHINA,0,0,5125,278597
GH,GHANA,0,0,162500,3927543
HK,HONG KONG,0,0,26325,4315502
IN,INDIA,0,0,500,62217
ID,INDONESIA,11275,775926,146400,8302934
JP,JAPAN,0,0,15300,1029188
KE,KENYA,16250,432553,16250,432553
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,0,0,46,12400
MY,MALAYSIA,0,0,1475,89778
MX,MEXICO,15000,714101,15000,714101
PK,PAKISTAN,0,0,220,62104
ZA,SOUTH AFRICA,7700,1131780,7700,1131780
LK,SRI LANKA,16000,407818,80000,1996232
TW,"TAIWAN, PROVINCE OF CHINA",0,0,600,75621
VN,VIETNAM,102000,4934070,571500,27076124
SUM,SUM,168225,8396248,1066961,50165394
