"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
CN,CHINA,25200,1098357,276514,9242753
HK,HONG KONG,0,0,50000,2239882
IN,INDIA,36000,5023021,560100,66818955
ID,INDONESIA,13300,900061,374225,19956613
KR,"KOREA,REPUBLIC OF",0,0,9000,898205
MX,MEXICO,0,0,99000,5796759
PK,PAKISTAN,0,0,1450,77635
PH,PHILIPPINES,0,0,69,21323
VN,VIETNAM,1000,64132,88675,3483039
SUM,SUM,75500,7085571,1459033,108535164
