"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
AU,AUSTRALIA,30000,3222817,233500,25195179
BD,BANGLADESH,14000,1461811,64925,6418680
BE,BELGIUM,0,0,107,3444
BR,BRAZIL,0,0,14225,1420686
CN,CHINA,251550,19892913,2440094,183603892
CI,COTE D IVOIRE,0,0,32500,975644
EG,EGYPT,0,0,2900,534781
ET,ETHIOPIA,32000,984743,32000,984743
FR,FRANCE,0,0,75,2375
GH,GHANA,48750,1476380,124750,3825775
GN,GUINEA,16000,646075,64500,2254619
GW,GUINEA-BISSAU,0,0,32500,973540
HK,HONG KONG,0,0,12575,1176642
IN,INDIA,75000,8224821,4220971,354564682
ID,INDONESIA,128480,12502348,578862,57584121
IT,ITALY,0,0,100,10000
JP,JAPAN,51825,1401125,1106600,50109324
KE,KENYA,0,0,32500,1094085
KP,KOREA DPR,0,0,500,26098
KR,"KOREA,REPUBLIC OF",12350,1154859,95776,8656569
LA,LAO PDR,75,1575,245,17910
LU,LUXEMBOURG,0,0,2302,99017
MY,MALAYSIA,86600,5861107,505840,43908105
MM,MYANMAR,2000,173200,65915,3526255
NZ,NEW ZEALAND,0,0,0,32
PK,PAKISTAN,28000,2192228,30000,2347788
PE,PERU,500,35820,500,35820
PH,PHILIPPINES,1125,114421,49243,5930493
SN,SENEGAL,0,0,32000,1085653
SG,SINGAPORE,24750,1395111,223137,12790320
ZA,SOUTH AFRICA,0,0,17000,545844
LK,SRI LANKA,25525,765529,31800,1487574
TW,"TAIWAN, PROVINCE OF CHINA",21850,2110850,495328,53594481
AE,UNITED ARAB EMIRATES,16000,246186,47000,1537441
GB,UNITED KINGDOM,0,0,8325,1788106
US,UNITED STATES,18000,1475162,44000,3708069
VN,VIETNAM,40360,4150734,150494,13222114
SUM,SUM,924740,69489815,10793089,845039901
