"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AO,ANGOLA,52500,2291500,52500,2291500
AU,AUSTRALIA,540660,25053293,540660,25053293
BD,BANGLADESH,273500,12021589,273500,12021589
BE,BELGIUM,12000,1326840,12000,1326840
KH,CAMBODIA,340000,16091750,340000,16091750
CA,CANADA,99000,5319680,99000,5319680
CN,CHINA,10780250,548667181,10780250,548667181
CG,CONGO,34000,1812543,34000,1812543
DJ,DJIBOUTI,339000,16405803,339000,16405803
FJ,FIJI,54000,2926057,54000,2926057
PF,FRENCH POLYNESIA,54000,3028679,54000,3028679
IN,INDIA,3187000,169274582,3187000,169274582
ID,INDONESIA,10065740,467729974,10065740,467729974
IL,ISRAEL,37000,1606966,37000,1606966
JP,JAPAN,2076550,101309493,2076550,101309493
KR,"KOREA,REPUBLIC OF",448500,23654387,448500,23654387
LA,LAO PDR,419750,22221563,419750,22221563
MY,MALAYSIA,1531470,73049128,1531470,73049128
MU,MAURITIUS,10000,557682,10000,557682
MZ,MOZAMBIQUE,132000,7278825,132000,7278825
MM,MYANMAR,968463,49056710,968463,49056710
NZ,NEW ZEALAND,108260,5756134,108260,5756134
PG,PAPUA NEW GUINEA,26000,1314760,26000,1314760
PH,PHILIPPINES,715250,36722746,715250,36722746
PT,PORTUGAL,623500,28316400,623500,28316400
RE,REUNION,17000,938757,17000,938757
SN,SENEGAL,25000,940215,25000,940215
SG,SINGAPORE,70600,3975685,70600,3975685
ZA,SOUTH AFRICA,320000,16465152,320000,16465152
ES,SPAIN,108000,4318116,108000,4318116
CH,SWITZERLAND,21,791,21,791
TW,"TAIWAN, PROVINCE OF CHINA",1906750,103192211,1906750,103192211
TZ,TANZANIA UNITED REPUBLIC OF,23500,1128572,23500,1128572
TR,TÜRKIYE,6700,826815,6700,826815
UA,UKRAINE,17250,954084,17250,954084
AE,UNITED ARAB EMIRATES,1000,54976,1000,54976
US,UNITED STATES,16000,820975,16000,820975
VN,VIETNAM,5360132,242841560,5360132,242841560
SUM,SUM,40800346,1999252174,40800346,1999252174
