"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AL,ALBANIA,0,0,17000,570448
AO,ANGOLA,0,0,99000,3491922
AU,AUSTRALIA,685420,24417047,3037250,106388473
BD,BANGLADESH,281750,10118461,1103250,39713494
KH,CAMBODIA,312500,10957766,936500,32839170
CM,CAMEROON,0,0,74250,2682722
CA,CANADA,171000,6139186,428000,15293097
CN,CHINA,6151460,221109538,27284802,939181638
CG,CONGO,0,0,250000,8507574
CI,COTE D IVOIRE,0,0,34000,1211648
DJ,DJIBOUTI,549650,19010037,980650,33474526
FJ,FIJI,49700,1726222,193700,6629883
PF,FRENCH POLYNESIA,0,0,27000,970990
DE,GERMANY,0,0,36300,2084173
HK,HONG KONG,0,0,270473,8900661
IN,INDIA,1355985,50379002,6842485,246205847
ID,INDONESIA,1940375,71059567,11429650,412317238
IL,ISRAEL,3000,197030,3000,197030
JP,JAPAN,1340725,53231923,5162392,200246954
KZ,KAZAKHSTAN,68000,2361832,170000,5790523
KE,KENYA,76500,2771495,102000,3651791
KR,"KOREA,REPUBLIC OF",314000,11721849,1840650,67020032
LA,LAO PDR,335100,13069397,1912262,78976133
MY,MALAYSIA,531030,20644184,2247628,89444072
MV,MALDIVES,0,0,34,13960
MU,MAURITIUS,0,0,35000,1284628
MX,MEXICO,0,0,72000,2419499
MZ,MOZAMBIQUE,16500,579012,69500,2390644
MM,MYANMAR,510000,17202212,2362870,80100845
NP,NEPAL,0,0,34500,1277850
NL,NETHERLANDS,0,0,19200,947070
NC,NEW CALEDONIA,18000,625191,47000,1600051
NZ,NEW ZEALAND,201250,6945621,728250,24894216
PG,PAPUA NEW GUINEA,40000,1401943,177000,6026194
PH,PHILIPPINES,1088000,37832485,2289250,79304888
PT,PORTUGAL,675000,21786957,750005,24220013
RE,REUNION,17000,632895,94000,3453477
RU,RUSSIAN FEDERATION,0,0,18000,601030
SA,SAUDI ARABIA,0,0,690,137665
SG,SINGAPORE,18000,623107,85500,3066453
SB,SOLOMON ISLANDS,0,0,5000,171229
ZA,SOUTH AFRICA,0,0,209000,7483344
LK,SRI LANKA,66000,2438887,213000,7859979
SE,SWEDEN,0,0,4500,158384
TW,"TAIWAN, PROVINCE OF CHINA",1596750,57059184,4991000,176076257
UA,UKRAINE,17250,672712,189750,7336743
US,UNITED STATES,0,0,81750,2851408
VN,VIETNAM,5016448,170797200,17659711,598947714
SUM,SUM,23446393,837511942,94618752,3338413580
