"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'FOB (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'FOB (Baht)')"
AU,AUSTRALIA,902260,48101644,4210000,226079150
BD,BANGLADESH,510500,27719456,1079250,58286799
BE,BELGIUM,306000,15400254,704250,36621636
BR,BRAZIL,570000,31489344,570000,31489344
BN,BRUNEI DARUSSALAM,0,0,7000,389552
KH,CAMBODIA,30000,1664001,270000,15030166
CL,CHILE,18000,932231,36000,1866384
CN,CHINA,19859375,1060019565,49208575,2660674071
CO,COLOMBIA,66000,3557768,66000,3557768
DJ,DJIBOUTI,0,0,126000,6583060
EC,ECUADOR,72000,3748518,180000,9167581
EG,EGYPT,132000,6697268,330000,17173460
ET,ETHIOPIA,0,0,16000,548063
FJ,FIJI,27000,1471480,105000,5782012
FR,FRANCE,120000,6143263,312000,16807003
PF,FRENCH POLYNESIA,18000,992596,54000,2994982
DE,GERMANY,200,13735,200,13735
HK,HONG KONG,720000,35793256,1993950,105978657
IN,INDIA,4157050,220892432,12768235,678734047
ID,INDONESIA,5399385,295157953,16297651,897070346
IL,ISRAEL,17000,895561,17000,895561
JP,JAPAN,10692980,546604802,26594600,1357340831
KZ,KAZAKHSTAN,34000,1776224,68000,3550904
KR,"KOREA,REPUBLIC OF",929950,51158811,3498575,194654646
KW,KUWAIT,0,0,234000,12282954
LA,LAO PDR,300100,17913138,851400,48776415
MY,MALAYSIA,2202423,119035859,6284767,345186321
MU,MAURITIUS,53000,2829769,102000,5479402
MM,MYANMAR,51000,2802626,87000,4787587
NC,NEW CALEDONIA,53000,2905230,89000,4891236
NZ,NEW ZEALAND,826170,43314700,3003460,161782865
NG,NIGERIA,108000,5642127,108000,5642127
PK,PAKISTAN,24750,1300154,103000,5712720
PG,PAPUA NEW GUINEA,36000,1950364,63000,3443834
PE,PERU,1008000,53194851,1215000,64165650
PH,PHILIPPINES,745875,39856681,2123875,116339019
PL,POLAND,6000,306601,6000,306601
PT,PORTUGAL,433500,22023837,2348000,121384888
RE,REUNION,35000,1932660,123000,6575392
RU,RUSSIAN FEDERATION,0,0,80,5349
SA,SAUDI ARABIA,1375,85824,1375,85824
SG,SINGAPORE,157000,9015122,409625,23991401
SK,SLOVAKIA,0,0,88000,4425828
SB,SOLOMON ISLANDS,13000,704298,13000,704298
ES,SPAIN,0,0,414000,21902034
LK,SRI LANKA,41475,2244542,267625,14927488
CH,SWITZERLAND,0,0,400,21531
TW,"TAIWAN, PROVINCE OF CHINA",2629950,141012386,6323700,346783214
TZ,TANZANIA UNITED REPUBLIC OF,0,0,26000,1497903
TR,TÜRKIYE,24000,1407451,24000,1407451
UA,UKRAINE,0,0,36000,1838634
AE,UNITED ARAB EMIRATES,638000,33916106,1617000,85881015
US,UNITED STATES,0,0,250,8155
VN,VIETNAM,1378120,77768273,6515290,367752082
SUM,SUM,55347438,2941392761,150990133,8109278976
