"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,80000,3461324
AT,AUSTRIA,0,0,32000,2125746
BH,BAHRAIN,0,0,38700,1015297
CA,CANADA,0,0,16000,685937
CN,CHINA,0,0,2800,185193
IN,INDIA,0,0,445500,20305024
ID,INDONESIA,0,0,445500,21077996
IL,ISRAEL,0,0,1200,69973
JP,JAPAN,0,0,2250,120604
MY,MALAYSIA,0,0,28250,1251595
MM,MYANMAR,148050,4963338,209490,7199523
ZA,SOUTH AFRICA,0,0,49300,2573160
US,UNITED STATES,0,0,9100,628129
VN,VIETNAM,0,0,372300,12726693
SUM,SUM,148050,4963338,1732390,73426194
