"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
AU,AUSTRALIA,20000,1559993,65000,5756802
BD,BANGLADESH,0,0,1075,101937
CN,CHINA,67745,4717631,335905,25687686
EG,EGYPT,80000,4221672,368000,20031763
FI,FINLAND,4,971,4,971
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,0,0,900,57307
IN,INDIA,311159,27272326,984399,90482755
ID,INDONESIA,271290,19816502,984295,79079050
JP,JAPAN,66072,6205253,80962,8255211
KR,"KOREA,REPUBLIC OF",5000,451772,17220,1326532
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,30101,3336718,406652,32117303
NZ,NEW ZEALAND,0,0,300,112411
PK,PAKISTAN,14000,1110059,16000,1375696
PH,PHILIPPINES,3024,780273,28458,3714489
SA,SAUDI ARABIA,128500,8905950,224500,15671722
SG,SINGAPORE,350,3889,350,3889
ZA,SOUTH AFRICA,200,14657,77604,5439242
LK,SRI LANKA,0,0,16000,414764
TW,"TAIWAN, PROVINCE OF CHINA",22865,2330270,132367,15167600
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,108000,7403231,264000,16852912
US,UNITED STATES,18000,1222588,60001,4181708
VN,VIETNAM,108600,5491648,440492,26572873
SUM,SUM,1254910,94845403,4687753,357167081
