"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
CN,CHINA,0,0,1400,45306
DE,GERMANY,0,0,515,18615
HK,HONG KONG,221,14153,4708,517624
IN,INDIA,67000,2027983,398000,10180940
ID,INDONESIA,5500,332952,7950,533258
JP,JAPAN,0,0,1000,67557
KR,"KOREA,REPUBLIC OF",0,0,0,32
MY,MALAYSIA,0,0,0,162
MM,MYANMAR,0,0,2000,126000
PH,PHILIPPINES,200,13839,605,41085
SG,SINGAPORE,1,57,80,9847
CH,SWITZERLAND,50,1826,75,2727
AE,UNITED ARAB EMIRATES,0,0,40,643
VN,VIETNAM,2000,128194,2000,128307
SUM,SUM,74972,2519004,418373,11672103
