"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'FOB (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'FOB (Baht)')"
KH,CAMBODIA,165000,9717790,608250,32573453
CN,CHINA,0,0,14,14367
IN,INDIA,102330,3382995,623045,15987144
ID,INDONESIA,0,0,76500,3889874
JP,JAPAN,549,31074,549,31074
LA,LAO PDR,0,0,12000,120000
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
SUM,SUM,267879,13131859,1440758,56418814
