"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AU,AUSTRALIA,17000,997590,445250,27862195
BD,BANGLADESH,476000,26210816,5570500,331223299
KH,CAMBODIA,0,0,4840,398676
CL,CHILE,0,0,34000,2058360
CN,CHINA,5853200,338961713,59261400,3578528265
DJ,DJIBOUTI,0,0,68000,4292922
ET,ETHIOPIA,34000,2051672,34000,2051672
HK,HONG KONG,0,0,5000,325798
IN,INDIA,204125,10991375,9017175,533483503
ID,INDONESIA,58000,3444061,1771600,107179171
JP,JAPAN,0,0,42082,4057155
KR,"KOREA,REPUBLIC OF",0,0,11150,634435
LA,LAO PDR,5,3880,5,3880
MY,MALAYSIA,0,0,132754,8726382
MU,MAURITIUS,0,0,7000,428077
MX,MEXICO,0,0,15968,1401620
MM,MYANMAR,5,16,5,16
PK,PAKISTAN,255000,13503412,1581000,91080645
PH,PHILIPPINES,0,0,126590,7861774
SA,SAUDI ARABIA,0,0,72000,4529548
SG,SINGAPORE,0,0,55150,3572927
LK,SRI LANKA,34000,2060016,752748,45972590
TW,"TAIWAN, PROVINCE OF CHINA",0,0,25700,1547504
US,UNITED STATES,0,0,307062,20077084
VN,VIETNAM,334000,19623799,1441450,86504855
SUM,SUM,7265335,417848350,80782429,4863802353
