"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'FOB (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,750,146260
BD,BANGLADESH,0,0,15000,776956
KH,CAMBODIA,300,11000,615,23000
CN,CHINA,890730,7076915,10310719,79369686
DK,DENMARK,0,0,128,3158
DO,DOMINICAN REPUBLIC,23000,1090568,69000,3399461
IN,INDIA,99000,4304622,806500,31750694
ID,INDONESIA,0,184,0,184
IT,ITALY,0,0,1355,2802
JP,JAPAN,0,0,500,22474
KR,"KOREA,REPUBLIC OF",93256,956755,318823,2310467
LA,LAO PDR,20,1420,3350,436507
MM,MYANMAR,0,0,204,309350
OM,OMAN,0,0,5,10000
RE,REUNION,0,0,80,5250
SC,SEYCHELLES,0,0,71,13860
SG,SINGAPORE,0,0,2,3964
CH,SWITZERLAND,0,0,21,777
VN,VIETNAM,14004,627649,67904,3216033
SUM,SUM,1120310,14069113,11595027,121800883
