"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'FOB (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'FOB (Baht)')"
CN,CHINA,296500,7872599,867924,16820091
HK,HONG KONG,5,153,6,14976
ID,INDONESIA,0,0,5,2919
JP,JAPAN,0,0,1,31
LA,LAO PDR,5000,177442,43800,1669080
NZ,NEW ZEALAND,0,0,33,14386
SG,SINGAPORE,0,0,2202,122166
ES,SPAIN,0,0,130,12740
AE,UNITED ARAB EMIRATES,0,0,2,123
US,UNITED STATES,3,31,54,3120
VN,VIETNAM,0,0,253,19327
SUM,SUM,301508,8050225,914410,18678959
