"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
CN,CHINA,40382,831190,83032,3896287
HK,HONG KONG,0,0,7675,421145
ID,INDONESIA,5000,625702,115525,15045748
JP,JAPAN,75,4125,75,4125
KR,"KOREA,REPUBLIC OF",0,0,81500,8613253
LA,LAO PDR,0,0,56000,1722250
MY,MALAYSIA,0,0,1000,113414
PK,PAKISTAN,13100,1022802,270150,20471465
PH,PHILIPPINES,38125,1714989,142175,6767164
TW,"TAIWAN, PROVINCE OF CHINA",6000,660853,6000,660853
US,UNITED STATES,0,0,19400,929123
VN,VIETNAM,10000,408555,277000,13697387
SUM,SUM,112682,5268216,1059532,72342214
