"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
BD,BANGLADESH,32500,726275,62500,2237986
BN,BRUNEI DARUSSALAM,5000,209186,5000,209186
IN,INDIA,18000,1034028,18000,1034028
ID,INDONESIA,400000,17344567,944000,41589864
JP,JAPAN,625,31976,625,31976
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,11,1106,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,26,14140
TR,TÜRKIYE,1200,91031,1200,91031
US,UNITED STATES,3700,283019,3700,283019
SUM,SUM,461036,19721188,1037862,45770316
