"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
CN,CHINA,275,12870,56100,3119972
HK,HONG KONG,0,0,5025,309502
IN,INDIA,7000,774889,9425,884225
ID,INDONESIA,13000,1892879,188975,25872578
JP,JAPAN,1675,125739,7600,589483
LA,LAO PDR,14500,638000,173000,7618375
PK,PAKISTAN,1500,124308,1500,124308
PH,PHILIPPINES,26000,1457960,134100,7763672
ZA,SOUTH AFRICA,0,0,6050,430707
TW,"TAIWAN, PROVINCE OF CHINA",5000,566196,5000,566196
US,UNITED STATES,6500,370296,9675,581481
VN,VIETNAM,56000,2886499,499775,27255187
SUM,SUM,131450,8849636,1096225,75115686
