"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AO,ANGOLA,17500,658239,35500,1359397
AU,AUSTRALIA,1201850,48296825,2312850,93597354
BD,BANGLADESH,462000,17838032,631000,24980121
BE,BELGIUM,208500,8108287,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,459500,22155771,1061025,50360386
CA,CANADA,252000,12148088,499750,24578834
CN,CHINA,19778895,823640674,34068945,1418356917
CI,COTE D IVOIRE,210000,7920990,283500,11287779
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,0,0,175000,7223059
FJ,FIJI,114900,5041933,222400,10374645
PF,FRENCH POLYNESIA,0,0,31500,1375535
DE,GERMANY,298000,14172789,653825,31596757
GH,GHANA,171000,6705579,834000,32043662
IN,INDIA,247625,13231407,695125,32734290
ID,INDONESIA,3341500,133264995,6372900,257427198
IL,ISRAEL,332300,15851551,2281625,98681928
JP,JAPAN,1848700,72657255,3638950,145118801
KZ,KAZAKHSTAN,32500,1338682,99500,4111014
KE,KENYA,28400,1423692,85175,4355805
KR,"KOREA,REPUBLIC OF",29025,3119789,29025,3119789
LA,LAO PDR,131402,4740304,207597,7413168
MG,MADAGASCAR,40500,1944789,54000,2574681
MY,MALAYSIA,1489750,60186225,4205750,170842648
ML,MALI,0,0,54000,2576754
MU,MAURITIUS,22575,1126714,158275,7822240
MX,MEXICO,4400,590064,6400,827208
MZ,MOZAMBIQUE,34000,1379693,84150,3657773
MM,MYANMAR,207975,8508709,300800,13013731
NL,NETHERLANDS,68000,3421602,136000,6580484
NC,NEW CALEDONIA,17000,655552,48750,2022810
NZ,NEW ZEALAND,573175,25093446,1292875,58082805
PK,PAKISTAN,0,0,4000,429018
PG,PAPUA NEW GUINEA,17500,696959,45900,2227300
PH,PHILIPPINES,1063400,41945036,1764900,70763240
PL,POLAND,0,0,70000,3107297
QA,QATAR,0,0,25500,1160794
RE,REUNION,41550,1982385,68550,3269927
RU,RUSSIAN FEDERATION,220000,9810727,676750,30242664
WS,SAMOA,26000,1385511,26000,1385511
SN,SENEGAL,128400,5440466,141900,6098288
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,103500,4267505,164250,6753296
ZA,SOUTH AFRICA,944000,38724002,1660000,67571575
LK,SRI LANKA,120500,4786973,205500,8095314
SE,SWEDEN,47775,2428336,58150,2965481
SY,SYRIAN ARAB REPUBLIC,0,0,102000,4488318
TW,"TAIWAN, PROVINCE OF CHINA",25,1580,75525,4406571
TG,TOGO,350000,12940751,350000,12940751
TR,TÜRKIYE,40400,2036921,80800,4125199
UA,UKRAINE,121000,5289530,187000,8018753
AE,UNITED ARAB EMIRATES,244800,11132554,428050,18605985
GB,UNITED KINGDOM,35000,1466742,35000,1466742
US,UNITED STATES,0,0,3200,140232
VN,VIETNAM,4585250,180345804,8880750,350276551
SUM,SUM,39712072,1639903458,76073117,3154923916
