"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'FOB (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'FOB (Baht)')"
AU,AUSTRALIA,24000,676283,130000,9018612
AT,AUSTRIA,0,0,2000,155691
BD,BANGLADESH,0,0,15625,1253567
BY,BELARUS,0,0,1000,170372
BE,BELGIUM,0,0,147,4772
BR,BRAZIL,1500,154216,67000,6857312
CA,CANADA,18000,1521638,36000,3075650
CN,CHINA,76100,7807248,1266880,126166423
ET,ETHIOPIA,0,0,64000,1846248
GA,GABON,48600,1391803,48600,1391803
GH,GHANA,16000,563569,48400,1487423
HK,HONG KONG,31600,1174737,83058,4799685
IN,INDIA,99175,7919510,828675,65383132
ID,INDONESIA,51000,4361529,461363,36641201
JP,JAPAN,221352,5613353,610264,15364225
KR,"KOREA,REPUBLIC OF",0,0,7000,671462
KW,KUWAIT,0,0,0,512
LA,LAO PDR,0,0,61000,3057902
LR,LIBERIA,80000,2606139,480000,15627006
MY,MALAYSIA,67160,3509904,344535,22390213
ML,MALI,16000,555605,16000,555605
MM,MYANMAR,0,0,7500,615000
NL,NETHERLANDS,0,0,156000,4073327
PK,PAKISTAN,1800,159411,17625,1757747
PH,PHILIPPINES,0,0,46999,4304118
SG,SINGAPORE,11,153,11,153
ZA,SOUTH AFRICA,18000,1641453,64000,3792540
LK,SRI LANKA,16000,420839,72500,2086926
TW,"TAIWAN, PROVINCE OF CHINA",42500,4573965,175936,20033022
TR,TÜRKIYE,350,78899,850,135561
UG,UGANDA,0,0,46,22894
AE,UNITED ARAB EMIRATES,0,0,1100,181148
US,UNITED STATES,0,0,8000,736422
VN,VIETNAM,168,39621,8679,1571978
SUM,SUM,829316,44769875,5130793,355229652
