"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
KH,CAMBODIA,0,0,0,10776
HK,HONG KONG,0,0,37,30043
ID,INDONESIA,0,0,2000,238924
MY,MALAYSIA,0,0,1,18529
PH,PHILIPPINES,1000,53813,190825,10968079
GB,UNITED KINGDOM,94,62596,94,62596
SUM,SUM,1094,116409,192957,11328947
