"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'FOB (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1555852,172000,18664976
BD,BANGLADESH,32000,2650964,48925,4743894
BE,BELGIUM,0,0,107,3444
BR,BRAZIL,0,0,14225,1420686
CN,CHINA,102400,7147471,1912080,143678450
CI,COTE D IVOIRE,0,0,32500,975644
EG,EGYPT,0,0,2800,528380
FR,FRANCE,75,2375,75,2375
GH,GHANA,0,0,76000,2349395
GN,GUINEA,0,0,32500,973540
GW,GUINEA-BISSAU,0,0,32500,973540
HK,HONG KONG,0,0,7575,797688
IN,INDIA,134693,14156304,3370070,282040438
ID,INDONESIA,142161,14273342,252537,26232403
IT,ITALY,0,0,100,10000
JP,JAPAN,106754,666860,818478,42386435
KE,KENYA,0,0,32500,1094085
KP,KOREA DPR,0,0,500,26098
KR,"KOREA,REPUBLIC OF",0,0,82926,7414508
LA,LAO PDR,0,0,170,16335
LU,LUXEMBOURG,0,0,2302,99017
MY,MALAYSIA,86725,9523045,197365,18158287
MM,MYANMAR,4000,346400,63915,3353055
NZ,NEW ZEALAND,0,0,0,32
PK,PAKISTAN,2000,155560,2000,155560
PH,PHILIPPINES,50,6303,45430,5075743
SG,SINGAPORE,24750,1459404,148887,8545362
ZA,SOUTH AFRICA,0,0,17000,545844
LK,SRI LANKA,0,0,6275,722045
TW,"TAIWAN, PROVINCE OF CHINA",28990,3288274,387258,41294429
GB,UNITED KINGDOM,0,0,8325,1788106
VN,VIETNAM,0,0,38383,2345813
SUM,SUM,679598,55232154,7805708,616415607
