"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
AO,ANGOLA,18000,732652,54000,2199498
AU,AUSTRALIA,493200,21819553,3059350,136556790
BH,BAHRAIN,47475,2125399,71475,3215425
BD,BANGLADESH,54000,2407047,854100,38970436
BE,BELGIUM,303500,13400228,327500,14513948
BR,BRAZIL,0,0,229000,9961114
BN,BRUNEI DARUSSALAM,0,0,2000,86849
KH,CAMBODIA,315025,16045799,1715675,87360311
CM,CAMEROON,54000,2160704,234000,9619390
CA,CANADA,48000,2351110,200000,9968845
CL,CHILE,0,0,78000,3644976
CN,CHINA,5731104,261454281,35293219,1610431213
CO,COLOMBIA,17650,804275,17850,810057
CG,CONGO,16500,761006,16500,761006
CI,COTE D IVOIRE,378000,15250657,1025000,41604228
DJ,DJIBOUTI,142000,6239280,340000,14505577
EG,EGYPT,107000,4629438,143000,6131005
SV,EL SALVADOR,0,0,200,13402
FJ,FIJI,156200,8984285,279400,15601362
FR,FRANCE,0,0,43925,2503475
PF,FRENCH POLYNESIA,27500,1417185,88500,4434152
GA,GABON,31500,1367686,31500,1367686
GM,GAMBIA,35200,1566639,35200,1566639
DE,GERMANY,362000,17716926,869854,43136227
GH,GHANA,494000,20135800,1409600,58474487
HK,HONG KONG,0,0,35000,1524194
IN,INDIA,402550,19128893,1781550,84201406
ID,INDONESIA,3119000,136626863,12567566,545797904
IL,ISRAEL,840600,40754444,4109350,191149674
JP,JAPAN,1914600,81476382,7304875,312689076
KZ,KAZAKHSTAN,88000,3757086,229000,9893432
KE,KENYA,116800,5264370,670400,30781004
KR,"KOREA,REPUBLIC OF",16000,1885692,79100,9362996
LA,LAO PDR,43000,1957401,221607,10562876
LV,LATVIA,13500,646187,13500,646187
LR,LIBERIA,0,0,108000,4587229
MG,MADAGASCAR,0,0,55000,2772668
MY,MALAYSIA,1745750,76479502,6154550,270467227
MU,MAURITIUS,85050,4402686,269175,14503168
YT,MAYOTTE,13500,674787,13500,674787
MX,MEXICO,0,0,200,14436
MZ,MOZAMBIQUE,16500,750416,139500,6140929
MM,MYANMAR,505600,23078883,1127650,49962173
NL,NETHERLANDS,0,0,90000,4302402
NC,NEW CALEDONIA,63250,2962170,94875,4455363
NZ,NEW ZEALAND,512500,25849494,1539225,75998855
NG,NIGERIA,33000,1508766,1332000,32543324
OM,OMAN,726400,31458801,726400,31458801
PK,PAKISTAN,4000,455886,332000,14770612
PG,PAPUA NEW GUINEA,0,0,99400,5775696
PE,PERU,0,0,36000,1635735
PH,PHILIPPINES,46450,2215121,956375,43394851
PL,POLAND,70000,3196179,339925,15823328
PT,PORTUGAL,25000,1056378,25000,1056378
RE,REUNION,27000,1354078,191000,9775413
RU,RUSSIAN FEDERATION,319600,14086234,573600,25741310
SN,SENEGAL,149000,6251002,457100,20642413
SC,SEYCHELLES,0,0,9975,803460
SL,SIERRA LEONE,0,0,140500,6863671
SG,SINGAPORE,44000,1921384,154000,6780039
SI,SLOVENIA,0,0,155000,6896086
SO,SOMALIA,14200,798230,14200,798230
ZA,SOUTH AFRICA,479000,20413094,1079400,46667338
LK,SRI LANKA,205200,9308177,674400,30799638
SD,SUDAN,27700,1400145,68900,3510694
SE,SWEDEN,47925,2737163,143825,8272312
TW,"TAIWAN, PROVINCE OF CHINA",36000,1688357,161350,7954191
TZ,TANZANIA UNITED REPUBLIC OF,105600,4603292,293500,13599405
TG,TOGO,90000,3801410,1529000,62973692
TR,TÜRKIYE,54550,2920728,208475,11065349
UG,UGANDA,0,0,200,9385
UA,UKRAINE,174975,7873276,208975,9331133
AE,UNITED ARAB EMIRATES,246600,10828721,1754600,77963108
GB,UNITED KINGDOM,35000,1599797,35000,1599797
US,UNITED STATES,0,0,400,18425
UY,URUGUAY,21000,953614,21000,953614
VN,VIETNAM,1969675,88038517,5896075,272030521
SUM,SUM,23279929,1047533556,100640046,4519434033
