"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'FOB (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'FOB (Baht)')"
AU,AUSTRALIA,63300,4827414,63300,4827414
AT,AUSTRIA,75,30623,75,30623
BD,BANGLADESH,21000,760546,21000,760546
CN,CHINA,8525949,154891496,8525949,154891496
FJ,FIJI,15600,715603,15600,715603
IN,INDIA,355375,10293000,355375,10293000
ID,INDONESIA,49877,2058100,49877,2058100
IR,IRAN (ISLAMIC REPUBLIC OF),3750,283795,3750,283795
IE,IRELAND,800,140563,800,140563
JP,JAPAN,144977,6286420,144977,6286420
KR,"KOREA,REPUBLIC OF",1265,17691,1265,17691
MY,MALAYSIA,41875,2532245,41875,2532245
MU,MAURITIUS,500,83511,500,83511
SG,SINGAPORE,459,28260,459,28260
TW,"TAIWAN, PROVINCE OF CHINA",132025,6236148,132025,6236148
TR,TÜRKIYE,12000,2049717,12000,2049717
US,UNITED STATES,2,779,2,779
VN,VIETNAM,71675,4143827,71675,4143827
SUM,SUM,9440504,195379738,9440504,195379738
