"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'FOB (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'FOB (Baht)')"
AR,ARGENTINA,106700,7832226,225200,16585896
AU,AUSTRALIA,37560,2218533,176735,11263350
AT,AUSTRIA,0,0,1000,45818
BD,BANGLADESH,0,0,26500,692978
KH,CAMBODIA,19000,858842,19000,858842
CM,CAMEROON,0,0,37250,230554
CN,CHINA,9961810,212685160,41670196,1031764264
FJ,FIJI,0,0,10550,330785
DE,GERMANY,900,29163,1175,48102
HK,HONG KONG,467,66538,129967,986241
IN,INDIA,26600,2225037,803850,23972343
ID,INDONESIA,221140,9154291,442565,20777604
IE,IRELAND,0,0,1,90
IL,ISRAEL,0,0,600,40725
IT,ITALY,0,0,25,778
JP,JAPAN,14420,1024675,341760,15972948
KR,"KOREA,REPUBLIC OF",75,1944,22350,1425723
LA,LAO PDR,1000,395316,19130,1184299
MY,MALAYSIA,13500,2421152,103140,11152429
MU,MAURITIUS,0,0,27000,717188
YT,MAYOTTE,0,0,1,150
MM,MYANMAR,0,0,26500,1281464
NZ,NEW ZEALAND,24560,1817303,60290,4348179
PK,PAKISTAN,6800,437954,6800,437954
PH,PHILIPPINES,0,0,98625,3447145
SG,SINGAPORE,55085,5776050,80286,8301953
SI,SLOVENIA,206810,5499490,1242380,30700233
ZA,SOUTH AFRICA,0,0,1400,106094
LK,SRI LANKA,0,0,11,1287
TW,"TAIWAN, PROVINCE OF CHINA",275000,10820231,620500,24806172
UA,UKRAINE,0,0,1000,154787
GB,UNITED KINGDOM,0,0,27100,358424
US,UNITED STATES,0,0,18788,190836
VN,VIETNAM,110550,7349229,246055,19404064
SUM,SUM,11081977,270613134,46487730,1231589699
