"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'FOB (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'FOB (Baht)')"
AU,AUSTRALIA,935230,39468737,1391310,61690788
BD,BANGLADESH,346750,12496784,916500,33933631
BE,BELGIUM,441000,24452974,441000,24452974
BT,BHUTAN,49500,1753464,123750,4417875
CN,CHINA,28281475,1225663577,50942785,2292954083
HK,HONG KONG,13300,908378,63150,4406084
IN,INDIA,1199130,52125274,3081750,131633293
ID,INDONESIA,4425850,173636690,9516790,372998236
JP,JAPAN,9454675,396159809,16925175,720905367
KR,"KOREA,REPUBLIC OF",713750,35467409,1334000,72082225
MY,MALAYSIA,1312720,53284596,2296170,93255732
NP,NEPAL,0,0,19800,1158825
NZ,NEW ZEALAND,407885,17119477,689985,30004643
PK,PAKISTAN,0,0,297000,11751167
PH,PHILIPPINES,1381250,48150899,3321200,117047624
RU,RUSSIAN FEDERATION,0,0,93000,3581521
SG,SINGAPORE,64550,3733678,262825,16214465
ZA,SOUTH AFRICA,0,0,45500,1806442
LK,SRI LANKA,0,0,61750,2538365
TW,"TAIWAN, PROVINCE OF CHINA",1209950,49495224,1664900,69322282
US,UNITED STATES,0,0,18750,1867276
VN,VIETNAM,644800,36223806,977900,54559009
SUM,SUM,50881815,2170140776,94484990,4122581907
