"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AR,ARGENTINA,0,0,189000,13843144
AU,AUSTRALIA,36989,4164887,432734,33998839
BD,BANGLADESH,0,0,26300,1832827
KH,CAMBODIA,115,27062,56495,3192677
CN,CHINA,11650681,311923375,78217270,1617156955
FJ,FIJI,50,9483,15350,997605
DE,GERMANY,28,2041,461296,44829166
HK,HONG KONG,81900,375088,92102,457867
IN,INDIA,310450,10305775,4511600,165797645
ID,INDONESIA,160684,7702096,1579331,77066911
IT,ITALY,5,379,16,781
JP,JAPAN,5318,661164,282089,22057166
KE,KENYA,0,0,100000,3190593
KR,"KOREA,REPUBLIC OF",140775,752877,2225468,11993205
LA,LAO PDR,30800,1139614,112922,7446173
MY,MALAYSIA,114181,6597564,1880357,76665580
MV,MALDIVES,0,0,4,200
MU,MAURITIUS,16200,430150,19200,952386
MM,MYANMAR,0,0,32025,2108413
NP,NEPAL,9000,1713018,19000,3208480
NL,NETHERLANDS,0,0,50,1840
NZ,NEW ZEALAND,19,1441,23269,1302000
PK,PAKISTAN,0,0,26000,891856
PH,PHILIPPINES,20,1517,55613,6169417
SG,SINGAPORE,19010,2324474,118991,15113783
SI,SLOVENIA,161170,7809688,1661070,66639568
ZA,SOUTH AFRICA,20,1517,115770,3549384
ES,SPAIN,44,3338,27544,148063
LK,SRI LANKA,5004,996969,5004,996969
TW,"TAIWAN, PROVINCE OF CHINA",74410,3097732,939585,43115698
TZ,TANZANIA UNITED REPUBLIC OF,0,0,84000,3036239
TR,TÜRKIYE,12000,2182424,45602,7217399
AE,UNITED ARAB EMIRATES,0,0,69975,5741944
GB,UNITED KINGDOM,0,379,18679,1591141
US,UNITED STATES,2250,504166,204914,7326397
VN,VIETNAM,128747,8820618,650597,62038526
SUM,SUM,12959870,371548836,94299222,2311676837
