"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
CN,CHINA,72400,1708036,251314,8144396
HK,HONG KONG,50000,2239882,50000,2239882
IN,INDIA,0,0,524100,61795934
ID,INDONESIA,28700,1652032,360925,19056552
KR,"KOREA,REPUBLIC OF",0,0,9000,898205
MX,MEXICO,24750,1515356,99000,5796759
PK,PAKISTAN,0,0,1450,77635
PH,PHILIPPINES,69,21323,69,21323
VN,VIETNAM,2200,137564,87675,3418907
SUM,SUM,178119,7274193,1383533,101449593
