"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'FOB (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'FOB (Baht)')"
AU,AUSTRALIA,132695,10342058,323690,25118608
BD,BANGLADESH,48400,3228032,108340,7355174
BE,BELGIUM,39600,2819222,79200,5688574
CN,CHINA,11839162,773815040,33114780,2182705571
FJ,FIJI,100,17687,15600,695318
DE,GERMANY,118800,8345580,138600,9750237
GH,GHANA,31000,775000,31000,775000
HK,HONG KONG,157285,7168545,345085,19420291
IN,INDIA,1913000,102514679,4538245,253486696
ID,INDONESIA,549220,37730503,1293345,92318352
JP,JAPAN,3109371,193148475,9061418,569629664
KR,"KOREA,REPUBLIC OF",733075,54140092,2423915,179542302
LA,LAO PDR,4500,243556,35925,1251293
MY,MALAYSIA,115350,10328392,482250,38076717
MU,MAURITIUS,100,27238,34100,908613
MM,MYANMAR,0,0,450,15000
NZ,NEW ZEALAND,37000,3171082,65050,5531465
PK,PAKISTAN,240,71825,240,71825
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,24300,1879287,113900,7180515
SA,SAUDI ARABIA,15000,1375376,15000,1375376
SG,SINGAPORE,156900,10346799,575400,41276733
ZA,SOUTH AFRICA,800,126574,6500,1096768
LK,SRI LANKA,19875,1723672,38375,2172339
TW,"TAIWAN, PROVINCE OF CHINA",520350,34368027,1207400,76509875
US,UNITED STATES,20817,1470624,40819,2864260
VN,VIETNAM,499125,38138461,1580240,122214229
SUM,SUM,20086065,1297315826,55668917,3647038254
