"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'FOB (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'FOB (Baht)')"
AU,AUSTRALIA,909860,43233398,9395300,434164108
BD,BANGLADESH,148500,5865791,2266000,93814265
BE,BELGIUM,336600,22254739,1460450,89279786
BT,BHUTAN,0,0,330000,15402598
CN,CHINA,27409545,1227572678,245414980,11424519866
FR,FRANCE,0,0,1275,96376
DE,GERMANY,0,0,199435,11613320
HK,HONG KONG,63625,4311435,635175,39312317
IN,INDIA,4056620,176603263,39845645,1769920277
ID,INDONESIA,5456350,232654355,55055015,2431729099
IT,ITALY,11000,640155,11000,640155
JP,JAPAN,9177520,427759223,69720420,3345621072
KR,"KOREA,REPUBLIC OF",505200,31046082,10296020,614261152
MY,MALAYSIA,1031060,45834319,14198120,635760735
MM,MYANMAR,0,0,627550,21944269
NP,NEPAL,24750,947201,287220,12157820
NZ,NEW ZEALAND,617730,28981513,5411080,252874811
PK,PAKISTAN,60875,2565405,833625,37923764
PH,PHILIPPINES,842600,34817934,9608200,387869282
SG,SINGAPORE,69300,3512051,2512025,152557778
LK,SRI LANKA,74250,3280541,957500,43344075
TW,"TAIWAN, PROVINCE OF CHINA",622200,28386315,8276940,400594205
GB,UNITED KINGDOM,0,0,45,12491
US,UNITED STATES,0,0,347200,19992904
VN,VIETNAM,842400,51635362,10221675,640853262
SUM,SUM,52259985,2371901760,487911895,22876259787
