"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
DZ,ALGERIA,102000,5339010,102000,5339010
AR,ARGENTINA,250,82372,250,82372
AU,AUSTRALIA,513170,28095526,1473170,80084798
AT,AUSTRIA,1525,74872,1525,74872
BD,BANGLADESH,1279100,67526363,2516690,133311135
BR,BRAZIL,1410500,75742926,1899000,102763831
KH,CAMBODIA,261825,13953928,531825,28087213
CN,CHINA,11943655,622652991,33885690,1755143673
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",12000,701567,12000,701567
EG,EGYPT,12000,1007117,80000,4595939
ET,ETHIOPIA,32500,1251084,65000,2509980
FJ,FIJI,0,0,17500,898334
PF,FRENCH POLYNESIA,0,0,45000,2345905
GA,GABON,0,0,16000,619764
DE,GERMANY,20000,2137913,22000,2179801
GH,GHANA,34000,1020441,115750,4227072
HK,HONG KONG,3742187,135915020,7800812,317475978
IN,INDIA,1577175,77069498,3485450,168900622
ID,INDONESIA,10341890,549198914,20401595,1069611349
IL,ISRAEL,17000,901922,33500,1813330
JP,JAPAN,2532217,138933871,5235282,283591585
KE,KENYA,17000,958966,49000,2145943
KR,"KOREA,REPUBLIC OF",4377,504547,4877,533614
KW,KUWAIT,34000,1801200,68000,3583438
LA,LAO PDR,98000,5413727,137000,7550962
LR,LIBERIA,0,0,130000,4657917
MG,MADAGASCAR,192000,2505431,192000,2505431
MY,MALAYSIA,1654410,103656622,2869810,166722821
MU,MAURITIUS,120000,6544237,170000,9181053
MX,MEXICO,0,0,1000,224019
MZ,MOZAMBIQUE,32500,980722,49500,1896165
MM,MYANMAR,457300,23178348,1216350,61348259
NZ,NEW ZEALAND,90000,4810037,130000,6920868
OM,OMAN,0,0,51000,2659649
PK,PAKISTAN,700700,40202221,837650,49004281
PG,PAPUA NEW GUINEA,0,0,82500,4180988
PH,PHILIPPINES,3719050,199320446,5102875,271911340
RU,RUSSIAN FEDERATION,50,3180,50,3180
SN,SENEGAL,33000,1127443,33000,1127443
SG,SINGAPORE,63000,3336797,131300,6876084
ZA,SOUTH AFRICA,124625,8772867,235700,15856995
LK,SRI LANKA,61000,3332216,105000,5753053
TW,"TAIWAN, PROVINCE OF CHINA",136051,5335591,185805,6740851
AE,UNITED ARAB EMIRATES,144000,7905516,240000,13098888
US,UNITED STATES,200,13734,200,13734
VN,VIETNAM,1870150,505142172,4400750,637139762
SUM,SUM,43384407,2646451355,94163406,5245994868
