"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'FOB (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'FOB (Baht)')"
IN,INDIA,0,0,2030,131107
ID,INDONESIA,0,0,200,54847
SUM,SUM,0,0,2230,185954
