"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'FOB (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'FOB (Baht)')"
CN,CHINA,1000,230766,82363,7000384
HK,HONG KONG,1300,74951,8700,456651
IN,INDIA,0,0,2050,336128
ID,INDONESIA,15150,1875259,160950,21652879
JP,JAPAN,0,0,300,16566
KR,"KOREA,REPUBLIC OF",29000,3155948,141000,15249696
LA,LAO PDR,14000,504500,108220,4276694
MY,MALAYSIA,300,9000,300,9000
MX,MEXICO,0,0,25,4642
PK,PAKISTAN,9200,758115,108525,8906577
PH,PHILIPPINES,17150,999871,133150,7213238
US,UNITED STATES,0,0,5500,284698
VN,VIETNAM,70273,3478565,294648,14702394
SUM,SUM,157373,11086975,1045731,80109547
