"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AU,AUSTRALIA,625950,34533925,2718080,141414740
BD,BANGLADESH,306000,16012099,727500,35846499
BE,BELGIUM,99000,6449655,319500,20407591
CN,CHINA,41128505,2793903232,184882630,11357384894
FJ,FIJI,0,0,37000,1694102
FR,FRANCE,99000,5194639,99000,5194639
HK,HONG KONG,22500,2229805,64800,6117897
IN,INDIA,1872350,122081354,10248810,619847185
ID,INDONESIA,4327350,237187614,26534805,1312348696
JP,JAPAN,5877800,349662358,25571800,1397678573
KZ,KAZAKHSTAN,48000,2718725,79000,4155264
KR,"KOREA,REPUBLIC OF",457200,39215147,2214900,171514961
MY,MALAYSIA,736275,42199786,6200675,308566387
MM,MYANMAR,165000,8136223,883450,39784267
NZ,NEW ZEALAND,177070,9620948,1149980,59675604
PK,PAKISTAN,99000,5984759,431500,24622109
PH,PHILIPPINES,381850,19619678,3638250,168159929
PT,PORTUGAL,426000,22458406,426000,22458406
RE,REUNION,2000,99280,2000,99280
RU,RUSSIAN FEDERATION,48000,2500588,101500,4924048
SG,SINGAPORE,221525,17819094,700625,50166015
ZA,SOUTH AFRICA,0,0,16500,684841
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,101000,4880709,164500,7913293
TW,"TAIWAN, PROVINCE OF CHINA",912100,53289037,2906100,159132351
TR,TÜRKIYE,0,0,1017500,44748772
AE,UNITED ARAB EMIRATES,0,0,1000,48897
US,UNITED STATES,63459,4798472,64959,4953537
VN,VIETNAM,943525,79624566,7216815,447853943
SUM,SUM,59140459,3880220099,278419229,16417398921
