"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'FOB (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,250,30640
CN,CHINA,1409673,11363390,2741658,24615939
DO,DOMINICAN REPUBLIC,0,0,24550,627416
DE,GERMANY,0,0,15,446
HK,HONG KONG,0,0,300,14400
IN,INDIA,33000,1398586,379525,9497658
JP,JAPAN,0,0,4,635
KR,"KOREA,REPUBLIC OF",53588,431969,53588,431969
LA,LAO PDR,50,197500,642,426775
MY,MALAYSIA,0,0,1000,120941
MX,MEXICO,0,0,100,7385
NC,NEW CALEDONIA,0,0,460,38400
PH,PHILIPPINES,0,0,0,61
SG,SINGAPORE,1000,42351,1000,42351
CH,SWITZERLAND,0,0,0,54
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,271316
TZ,TANZANIA UNITED REPUBLIC OF,0,0,12000,659014
VN,VIETNAM,14000,564209,54315,1569872
SUM,SUM,1511311,13998005,3293407,38355272
