"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
KH,CAMBODIA,1875,46875,314950,17255641
CN,CHINA,0,0,140000,8176941
DE,GERMANY,0,0,200,11029
IN,INDIA,0,0,100698,3079395
ID,INDONESIA,900,145493,900,145493
LA,LAO PDR,0,0,20500,250700
MY,MALAYSIA,46202,2718493,190714,11392591
PH,PHILIPPINES,0,0,15617,912869
SK,SLOVAKIA,0,0,97500,4160784
SE,SWEDEN,13000,555701,26000,1111010
VN,VIETNAM,529,17360,38114,1021984
SUM,SUM,62506,3483922,945193,47518437
