"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
AU,AUSTRALIA,611658,21287914,611658,21287914
BD,BANGLADESH,1454500,48819394,1454500,48819394
BR,BRAZIL,72000,2176866,72000,2176866
KH,CAMBODIA,845000,24658424,845000,24658424
CN,CHINA,12851096,403027171,12851096,403027171
CO,COLOMBIA,33000,987852,33000,987852
DJ,DJIBOUTI,405500,12215977,405500,12215977
EC,ECUADOR,12000,411922,12000,411922
HK,HONG KONG,1059050,33180516,1059050,33180516
IN,INDIA,948000,30427488,948000,30427488
ID,INDONESIA,8422124,269694971,8422124,269694971
IL,ISRAEL,130500,4501101,130500,4501101
JP,JAPAN,222620,9429582,222620,9429582
KR,"KOREA,REPUBLIC OF",12000,423660,12000,423660
LA,LAO PDR,105000,3342022,105000,3342022
MY,MALAYSIA,839544,28932730,839544,28932730
MU,MAURITIUS,16500,563494,16500,563494
MM,MYANMAR,814500,25636707,814500,25636707
NZ,NEW ZEALAND,45000,1556654,45000,1556654
OM,OMAN,51000,1529997,51000,1529997
PK,PAKISTAN,1533500,44786094,1533500,44786094
PH,PHILIPPINES,2520500,78749223,2520500,78749223
SG,SINGAPORE,34000,1028788,34000,1028788
ZA,SOUTH AFRICA,700,57061,700,57061
LK,SRI LANKA,76025,2488167,76025,2488167
TW,"TAIWAN, PROVINCE OF CHINA",57790,1996680,57790,1996680
TZ,TANZANIA UNITED REPUBLIC OF,41000,1382136,41000,1382136
TR,TÜRKIYE,14000,857635,14000,857635
US,UNITED STATES,25125,941822,25125,941822
VN,VIETNAM,8742095,263938514,8742095,263938514
SUM,SUM,41995327,1319030562,41995327,1319030562
