"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
BE,BELGIUM,48750,2069834,73125,3130959
BG,BULGARIA,0,0,13000,542641
KH,CAMBODIA,0,0,1455850,81385524
CN,CHINA,82000,4518795,142514,8753794
FR,FRANCE,0,0,121875,5065638
HK,HONG KONG,0,0,1580,5628
IN,INDIA,246,179256,828507,22367503
ID,INDONESIA,0,0,96500,5085772
JP,JAPAN,0,0,2124,120125
LA,LAO PDR,3000,15000,51450,1675750
MY,MALAYSIA,44163,2677192,139253,8236751
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
LK,SRI LANKA,0,0,400,21513
SUM,SUM,178159,9460077,3046578,140194500
