"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,73022,3064055
BD,BANGLADESH,5000,136169,331038,33044777
BE,BELGIUM,264000,28724614,2302800,249177959
KH,CAMBODIA,74,16800,114535,18244134
CN,CHINA,359828,19264547,2417163,145452790
EG,EGYPT,0,0,24125,2386093
DE,GERMANY,125,9477,48193,5350433
HK,HONG KONG,0,0,5217,506918
IN,INDIA,338000,35399705,4363750,420144833
ID,INDONESIA,221900,23732961,1974905,193214483
IT,ITALY,0,0,50,4631
JP,JAPAN,35332,3357537,407546,36480077
KR,"KOREA,REPUBLIC OF",44000,4964381,216841,23972127
LA,LAO PDR,210,36170,2183,458470
MY,MALAYSIA,31850,4666725,346794,43623582
MU,MAURITIUS,0,0,243000,7491890
MX,MEXICO,0,0,16000,1219383
MM,MYANMAR,420,39501,6986,610869
PK,PAKISTAN,0,0,1500,343665
PH,PHILIPPINES,25080,2921575,121612,12907523
SA,SAUDI ARABIA,60000,6649000,397925,39978204
SG,SINGAPORE,1200,267627,7033,1508784
ZA,SOUTH AFRICA,74850,7281439,498750,46229169
LK,SRI LANKA,0,0,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",60000,9450028,433300,51426276
AE,UNITED ARAB EMIRATES,0,0,535650,41055912
US,UNITED STATES,0,0,10000,752588
VN,VIETNAM,75850,5400469,549087,47771438
SUM,SUM,1597719,152318725,15450472,1426453349
