"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
AU,AUSTRALIA,14920,2275130,107200,13244416
BD,BANGLADESH,0,0,85000,2598611
CN,CHINA,49450,4743838,927417,85692837
ET,ETHIOPIA,0,0,254000,7133537
GA,GABON,0,0,34000,959065
DE,GERMANY,0,0,0,1270
HK,HONG KONG,0,0,50,97608
IN,INDIA,113725,11246906,514300,52472463
ID,INDONESIA,21625,1863085,487900,42790352
JP,JAPAN,0,0,54,3157
KR,"KOREA,REPUBLIC OF",0,0,439650,32558328
MY,MALAYSIA,35375,2687159,239690,21807263
MU,MAURITIUS,35000,966245,35000,966245
NZ,NEW ZEALAND,11800,1327724,87300,9284540
PK,PAKISTAN,5500,407203,5700,437898
PH,PHILIPPINES,200,20705,19680,1919874
SG,SINGAPORE,0,0,24908,2798823
LK,SRI LANKA,0,0,5500,381066
TW,"TAIWAN, PROVINCE OF CHINA",100,17000,53250,4622391
AE,UNITED ARAB EMIRATES,0,0,180900,18182495
US,UNITED STATES,0,0,80000,6415801
VN,VIETNAM,11705,1099498,131970,15399878
SUM,SUM,299400,26654493,3713469,319767918
