"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15000,744980
BD,BANGLADESH,204000,9870893,204000,9870893
CN,CHINA,6044000,304783569,14266000,719285128
IN,INDIA,2819000,136761302,7953000,391602611
ID,INDONESIA,85050,4206010,195100,9709456
LA,LAO PDR,40,57634,93,164218
MU,MAURITIUS,0,0,1500,75472
MX,MEXICO,52000,1150535,52000,1150535
PK,PAKISTAN,0,0,85000,4231292
LK,SRI LANKA,68000,3359309,68000,3359309
TW,"TAIWAN, PROVINCE OF CHINA",0,0,17000,848855
VN,VIETNAM,0,0,66000,3287000
SUM,SUM,9272090,460189252,22922693,1144329749
