"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'FOB (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'FOB (Baht)')"
AU,AUSTRALIA,48000,2934613,144000,8800540
BN,BRUNEI DARUSSALAM,0,0,15000,597898
KH,CAMBODIA,0,0,4000,233300
CN,CHINA,302,9782,302,9782
ID,INDONESIA,317000,17566985,1363000,76096316
IQ,IRAQ,16000,259620,31000,504516
JP,JAPAN,1000,32452,1025,33260
MY,MALAYSIA,28000,2014529,62001,4929448
NL,NETHERLANDS,0,0,4865,500348
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,0,0,34000,985593
SUM,SUM,410302,22817981,1660495,92882330
