"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
CN,CHINA,21950,4008399,284444,27781465
IN,INDIA,75000,12665272,810350,109364754
ID,INDONESIA,2000,346859,398700,42372313
KR,"KOREA,REPUBLIC OF",0,0,9000,1129422
MY,MALAYSIA,0,0,100,23044
MX,MEXICO,0,0,123750,6973365
NZ,NEW ZEALAND,0,0,24000,2785766
NG,NIGERIA,0,0,5000,913728
PK,PAKISTAN,0,0,2000,257998
PH,PHILIPPINES,0,0,22,7600
SG,SINGAPORE,600,127452,600,127452
TW,"TAIWAN, PROVINCE OF CHINA",0,0,50,3446
VN,VIETNAM,102000,4127639,275500,12865337
SUM,SUM,201550,21275621,1933516,204605690
