"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'FOB (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'FOB (Baht)')"
AU,AUSTRALIA,532000,19246284,6241650,230943970
BD,BANGLADESH,148500,4371614,348400,11565761
BE,BELGIUM,22500,1260217,67500,3776270
KH,CAMBODIA,0,0,74250,1841020
CN,CHINA,36038809,1554107486,352609351,14179537616
DJ,DJIBOUTI,15500,476929,81500,2594243
FJ,FIJI,0,0,28000,884089
PF,FRENCH POLYNESIA,0,0,8000,259400
GH,GHANA,0,0,148500,4419559
HK,HONG KONG,0,0,236945,8987506
IN,INDIA,1403335,53983163,7264285,309197636
ID,INDONESIA,5139690,176853474,51179215,1735238926
JP,JAPAN,5143450,180899437,50360950,1810671261
KR,"KOREA,REPUBLIC OF",182325,10125738,3204840,153284392
LA,LAO PDR,0,0,1000,34083
MY,MALAYSIA,760450,27133330,5794460,214340527
MU,MAURITIUS,0,0,42000,1172763
MM,MYANMAR,33500,981259,321700,7967019
NZ,NEW ZEALAND,417755,16257147,3859905,143656391
PK,PAKISTAN,11000,411007,193800,7415141
PH,PHILIPPINES,376000,12227432,8109450,248373752
PT,PORTUGAL,75000,2097927,300000,7273533
RE,REUNION,0,0,3000,87264
SN,SENEGAL,0,0,49500,1532081
SG,SINGAPORE,98650,4999081,1925400,91769311
LK,SRI LANKA,74250,2559142,351000,12221634
TW,"TAIWAN, PROVINCE OF CHINA",863600,28550141,6599300,236740017
AE,UNITED ARAB EMIRATES,0,0,16500,517148
US,UNITED STATES,4000,128051,431300,32506068
VN,VIETNAM,1087050,46001174,6689375,284872722
SUM,SUM,52427364,2142670033,506541076,19743681103
