"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AU,AUSTRALIA,789500,32386940,2356130,98391662
BD,BANGLADESH,304000,12647647,635500,26799094
BE,BELGIUM,198000,7838285,198000,7838285
BR,BRAZIL,25500,1069091,25500,1069091
BN,BRUNEI DARUSSALAM,0,0,12000,514052
KH,CAMBODIA,59000,2509896,368220,15208010
CM,CAMEROON,0,0,148500,6108051
CA,CANADA,48000,1952558,265500,10884251
CL,CHILE,18000,748730,68000,2826963
CN,CHINA,8197850,331621781,23784422,959038677
CG,CONGO,0,0,235000,9663229
CI,COTE D IVOIRE,51750,2319364,51750,2319364
DJ,DJIBOUTI,660000,25692078,1414000,56700994
EG,EGYPT,99000,3950002,495000,19415802
FJ,FIJI,90000,3652630,194000,7882204
GM,GAMBIA,0,0,33000,1337352
DE,GERMANY,0,0,11000,599879
HK,HONG KONG,90567,3486937,846593,32890111
IN,INDIA,1158675,48045633,3309175,136978522
ID,INDONESIA,2064800,88931000,6078075,265472599
IL,ISRAEL,500,33509,1000,68405
IT,ITALY,0,0,75,2539
JP,JAPAN,1891900,83295608,5690646,247624375
KZ,KAZAKHSTAN,0,0,85000,3510759
KE,KENYA,17250,757497,85500,3785645
KR,"KOREA,REPUBLIC OF",428000,18173381,1937550,82448393
LA,LAO PDR,466500,20798101,1177715,54009622
MY,MALAYSIA,787838,35637145,1774455,80376863
MU,MAURITIUS,29000,1228655,33500,1429900
MZ,MOZAMBIQUE,258500,10571523,535000,21737284
MM,MYANMAR,353889,13963601,1328654,53932935
NC,NEW CALEDONIA,18000,740625,36000,1482683
NZ,NEW ZEALAND,110250,4556047,369350,15215110
PG,PAPUA NEW GUINEA,38000,1576011,38000,1576011
PY,PARAGUAY,0,0,25500,1095944
PE,PERU,102000,4420588,127500,5548583
PH,PHILIPPINES,658500,27720334,1376000,58096474
PT,PORTUGAL,550000,21648331,1200000,46994034
RE,REUNION,0,0,31000,1360149
SG,SINGAPORE,36050,1501932,97002,4089632
ZA,SOUTH AFRICA,238000,9951686,558000,23366474
LK,SRI LANKA,125075,5279350,300100,12549922
CH,SWITZERLAND,50,14872,50,14872
TW,"TAIWAN, PROVINCE OF CHINA",1281100,50857983,3763625,150115294
TZ,TANZANIA UNITED REPUBLIC OF,25500,1101587,60000,2648841
AE,UNITED ARAB EMIRATES,99000,3882497,318000,13016024
US,UNITED STATES,130800,5326986,163375,7131881
VN,VIETNAM,2457402,102547810,10128216,417244143
SUM,SUM,23957746,992438231,71770178,2972410983
