"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'FOB (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,360002,20793369
BD,BANGLADESH,0,0,17100,926650
BN,BRUNEI DARUSSALAM,0,0,38000,1603216
KH,CAMBODIA,0,0,13500,815634
CN,CHINA,0,0,1702,202535
IN,INDIA,0,0,64650,1595486
ID,INDONESIA,207000,10806748,3782000,210836924
IQ,IRAQ,0,0,57600,959431
JP,JAPAN,85,8238,1635,73658
MY,MALAYSIA,0,0,112026,9135776
NL,NETHERLANDS,0,0,4865,500348
PK,PAKISTAN,10225,894389,26000,2293919
TW,"TAIWAN, PROVINCE OF CHINA",1825,199988,2125,255913
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,0,0,143150,4173317
SUM,SUM,219135,11909363,4625657,254357505
