"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'FOB (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'FOB (Baht)')"
AU,AUSTRALIA,32000,4584968,150000,21574638
CN,CHINA,744850,5185413,2744620,18466220
IN,INDIA,0,0,189418,6676610
ID,INDONESIA,0,0,8000,565108
JP,JAPAN,128000,4988431,469625,19632193
KR,"KOREA,REPUBLIC OF",0,0,50,6500
LA,LAO PDR,0,0,3000,112326
LK,SRI LANKA,0,0,25,8277
US,UNITED STATES,0,0,9600,1421590
VN,VIETNAM,1000,91072,2100,191403
SUM,SUM,905850,14849884,3576438,68654865
