"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
BD,BANGLADESH,0,0,19250,534555
BN,BRUNEI DARUSSALAM,0,0,26000,1052639
CN,CHINA,26500,196380,474741,5914195
IN,INDIA,16000,883756,113000,6469437
ID,INDONESIA,0,0,400,40415
JP,JAPAN,0,0,2530,134119
KR,"KOREA,REPUBLIC OF",0,0,925,95785
LA,LAO PDR,0,0,81000,3215583
MY,MALAYSIA,0,0,197660,838810
MM,MYANMAR,0,0,2760,138000
PG,PAPUA NEW GUINEA,161,32851,406,90896
SG,SINGAPORE,0,0,1026,8126
TW,"TAIWAN, PROVINCE OF CHINA",0,0,530,65599
TR,TÜRKIYE,7200,552371,88800,6835228
US,UNITED STATES,0,0,36075,2929394
VN,VIETNAM,0,0,194200,8843329
SUM,SUM,49861,1665358,1239303,37206110
