"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,0,0,76000,5920591
IN,INDIA,0,0,1390595,103492402
ID,INDONESIA,42000,5197489,109000,11720082
JP,JAPAN,0,0,5687,506719
MY,MALAYSIA,0,0,34500,3703302
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,9100,486741,309695,20167109
VN,VIETNAM,0,0,200,5757
SUM,SUM,51100,5684230,2041706,149271573
