"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AU,AUSTRALIA,906340,41141786,2727000,126818051
BD,BANGLADESH,580250,22538067,851400,33816073
BE,BELGIUM,277200,15060009,624050,35091639
BT,BHUTAN,99000,3654052,99000,3654052
CN,CHINA,20120545,962131488,81549650,3819406859
DE,GERMANY,0,0,117000,6448239
HK,HONG KONG,62500,4088775,174650,11225907
IN,INDIA,5420000,227351907,15177600,640790134
ID,INDONESIA,5240935,225850929,15572500,667408124
JP,JAPAN,6099450,307327848,19171500,948069107
KR,"KOREA,REPUBLIC OF",560600,32710037,1797500,102423671
MY,MALAYSIA,1239032,56201242,3480897,158482039
MM,MYANMAR,181500,6393035,272250,9737960
NP,NEPAL,74250,2762515,272250,10218301
NZ,NEW ZEALAND,298440,14079956,1309780,61961341
PK,PAKISTAN,147500,6434368,596850,25845064
PH,PHILIPPINES,897050,37056691,3605375,147232478
SG,SINGAPORE,292050,17386772,622775,37488928
LK,SRI LANKA,99000,4146477,412500,17543280
TW,"TAIWAN, PROVINCE OF CHINA",519250,22499849,1879775,89309789
US,UNITED STATES,56250,5474618,129750,11450132
VN,VIETNAM,730200,38460728,2538000,138550358
SUM,SUM,43901342,2052751149,152982052,7102971526
