"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
BD,BANGLADESH,442000,17263990,612000,23492253
BE,BELGIUM,11,298,11,298
BR,BRAZIL,204000,8078503,204000,8078503
KH,CAMBODIA,167900,6544341,274450,10825423
CN,CHINA,1789881,41533337,2890645,67571028
CZ,CZECH REPUBLIC,50,6278,50,6278
EG,EGYPT,0,0,17000,484428
PF,FRENCH POLYNESIA,30000,1008511,30000,1008511
GT,GUATEMALA,130000,4223253,130000,4223253
GN,GUINEA,306000,11108185,306000,11108185
HK,HONG KONG,72000,2517768,96000,3364080
IN,INDIA,1300242,50000180,3058985,116002611
ID,INDONESIA,4324470,163555590,9440906,362494045
IL,ISRAEL,204000,8010972,204000,8010972
JP,JAPAN,367253,14242714,870040,33650289
KR,"KOREA,REPUBLIC OF",100,4462,2175,49916
LA,LAO PDR,2000,79865,50000,2095962
MY,MALAYSIA,447190,18120233,979545,40312699
MU,MAURITIUS,34000,1345921,34000,1345921
MZ,MOZAMBIQUE,50,1907,50,1907
MM,MYANMAR,176050,6156565,228300,8382018
PK,PAKISTAN,26565,1621865,69490,3529891
PE,PERU,52000,1689301,52000,1689301
PH,PHILIPPINES,800336,32167158,981300,40422283
QA,QATAR,54000,2382699,133000,5115922
SG,SINGAPORE,0,0,58000,2241703
SI,SLOVENIA,0,0,46200,1395526
ZA,SOUTH AFRICA,10000,610600,20000,1221200
LK,SRI LANKA,17000,696834,25775,3090592
TW,"TAIWAN, PROVINCE OF CHINA",400,40558,2400,197934
TR,TÜRKIYE,1800,260160,1800,260160
US,UNITED STATES,58250,6526208,114509,13207677
VN,VIETNAM,658800,24939667,795970,31217635
SUM,SUM,11676348,424737923,21728601,806098404
