"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
BE,BELGIUM,0,0,24375,1061125
KH,CAMBODIA,128200,6994484,1365850,76461348
CN,CHINA,0,0,60014,4207224
FR,FRANCE,0,0,121875,5065638
HK,HONG KONG,1580,5628,1580,5628
IN,INDIA,0,0,827931,21952985
ID,INDONESIA,0,0,93500,4906955
JP,JAPAN,825,54562,2124,120125
LA,LAO PDR,0,0,48450,1660750
MY,MALAYSIA,0,0,66189,3830758
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
LK,SRI LANKA,0,0,400,21513
SUM,SUM,130605,7054674,2732688,123096951
