"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
CN,CHINA,36000,4168559,138500,11185293
IN,INDIA,18000,1169833,523300,70814805
ID,INDONESIA,44000,3576191,227700,23743607
KR,"KOREA,REPUBLIC OF",0,0,7000,861345
MX,MEXICO,24750,1506152,74250,4402901
NZ,NEW ZEALAND,12000,1363335,12000,1363335
PK,PAKISTAN,0,0,2000,257998
PH,PHILIPPINES,0,0,22,7600
VN,VIETNAM,0,0,7000,550120
SUM,SUM,134750,11784070,991772,113187004
