"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'FOB (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,24750,1164600
AU,AUSTRALIA,660240,30306491,1002520,46010362
BD,BANGLADESH,148000,6597464,302250,13915771
BR,BRAZIL,119000,5245597,148000,6606614
BN,BRUNEI DARUSSALAM,0,0,5000,232819
KH,CAMBODIA,211000,10331751,429500,20498972
CM,CAMEROON,88500,4091921,88500,4091921
CL,CHILE,24750,1138830,24750,1138830
CN,CHINA,4618250,218925007,10661000,511673660
CI,COTE D IVOIRE,99000,4788544,99000,4788544
DJ,DJIBOUTI,180000,7917815,270000,11831897
EG,EGYPT,72000,3173435,72000,3173435
FJ,FIJI,0,0,36000,1604133
PF,FRENCH POLYNESIA,33000,1545709,33000,1545709
GE,GEORGIA,16500,718248,16500,718248
GH,GHANA,33000,1584615,33000,1584615
HK,HONG KONG,576037,27265381,1107082,52497137
IN,INDIA,464250,21650841,1181500,56688521
ID,INDONESIA,949025,45821827,2473025,120138054
IL,ISRAEL,6000,337532,6000,337532
IT,ITALY,61,25276,61,25276
JP,JAPAN,648320,27512043,1434602,62411684
KZ,KAZAKHSTAN,0,0,34000,1551374
KR,"KOREA,REPUBLIC OF",324000,14676084,748875,34149327
LA,LAO PDR,425025,20393084,825225,39221540
MY,MALAYSIA,463362,22585460,886452,43166582
MU,MAURITIUS,44000,2092095,44000,2092095
MZ,MOZAMBIQUE,51500,2289734,204000,8492591
MM,MYANMAR,609280,27631607,897280,40222264
NC,NEW CALEDONIA,18000,820172,36000,1628652
NZ,NEW ZEALAND,169500,7985741,314000,14544146
PG,PAPUA NEW GUINEA,53000,2512390,71000,3314456
PH,PHILIPPINES,679500,32076655,1135000,53670758
PL,POLAND,0,0,54000,2279250
PT,PORTUGAL,700000,29599808,1175000,49669292
RE,REUNION,34000,1665404,34000,1665404
SG,SINGAPORE,75375,3885296,101550,5407001
ZA,SOUTH AFRICA,0,0,120500,5890463
LK,SRI LANKA,34500,1765702,51750,2639011
TW,"TAIWAN, PROVINCE OF CHINA",883200,42625522,1960588,95454472
TZ,TANZANIA UNITED REPUBLIC OF,17250,861706,17250,861706
TG,TOGO,33000,1607748,33000,1607748
UA,UKRAINE,115500,4875993,115500,4875993
AE,UNITED ARAB EMIRATES,249000,10995563,390000,17178960
US,UNITED STATES,200,5608,200,5608
VN,VIETNAM,2764391,129609444,6181473,289793400
SUM,SUM,16690516,779539143,34878683,1642060427
