"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
AU,AUSTRALIA,250,35085,750,146260
BD,BANGLADESH,0,0,15000,776956
KH,CAMBODIA,300,11000,315,12000
CN,CHINA,757334,6716627,9419989,72292771
DK,DENMARK,128,3158,128,3158
DO,DOMINICAN REPUBLIC,0,0,46000,2308893
IN,INDIA,99000,4429632,707500,27446072
IT,ITALY,0,0,1355,2802
JP,JAPAN,500,22474,500,22474
KR,"KOREA,REPUBLIC OF",0,0,225567,1353712
LA,LAO PDR,92,20922,3330,435087
MM,MYANMAR,20,2350,204,309350
OM,OMAN,0,0,5,10000
RE,REUNION,0,0,80,5250
SC,SEYCHELLES,0,0,71,13860
SG,SINGAPORE,0,0,2,3964
CH,SWITZERLAND,21,777,21,777
VN,VIETNAM,0,0,53900,2588384
SUM,SUM,857645,11242025,10474717,107731770
