"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
AO,ANGOLA,140000,3871844,350000,9047644
AU,AUSTRALIA,948450,30409068,6887000,206776493
BH,BAHRAIN,0,0,49500,1404459
BD,BANGLADESH,604000,17964479,2649000,75238415
BR,BRAZIL,0,0,750,30642
BN,BRUNEI DARUSSALAM,2000,60684,2000,60684
KH,CAMBODIA,836925,27202116,6129025,192544513
CA,CANADA,180000,6306157,1034275,34669458
CN,CHINA,15312750,445369684,154809185,4114463886
CG,CONGO,52500,1477869,262500,6864868
CI,COTE D IVOIRE,0,0,469000,11905161
CZ,CZECH REPUBLIC,0,0,23950,1004236
DJ,DJIBOUTI,192500,4790994,1919300,50943645
FJ,FIJI,56200,1710116,286750,9566720
FI,FINLAND,0,0,72000,2184411
FR,FRANCE,0,0,275975,9278716
PF,FRENCH POLYNESIA,27000,941876,226975,7243942
GA,GABON,31500,980061,138500,4110787
GM,GAMBIA,0,0,17500,404442
DE,GERMANY,245850,9983445,2149975,83034228
GH,GHANA,60500,2047292,283100,10255860
GR,GREECE,0,0,252450,9550925
HK,HONG KONG,1000,34350,1000,34350
IN,INDIA,455200,17565805,3133625,102940758
ID,INDONESIA,7511500,208804930,40114225,1032200845
IL,ISRAEL,878675,27215992,5052375,148902272
JP,JAPAN,1842100,51966820,15361514,424022543
KZ,KAZAKHSTAN,0,0,695000,17303364
KE,KENYA,177375,5472184,1420075,39349071
KR,"KOREA,REPUBLIC OF",18000,1855006,232000,18638910
LA,LAO PDR,174500,4584958,1056650,28597907
LV,LATVIA,23975,831672,74975,2420931
LT,LITHUANIA,0,0,50650,1834556
MG,MADAGASCAR,0,0,186700,6392625
MY,MALAYSIA,3337825,98413112,17784000,481158512
MU,MAURITIUS,113575,4574096,679500,26541719
MX,MEXICO,3000,370654,28300,3599030
MZ,MOZAMBIQUE,35000,1019816,189700,4985542
MM,MYANMAR,550325,17650860,4746375,139854222
nan,NAMIBIA,0,0,52400,1877168
NL,NETHERLANDS,68000,2755083,538175,21490869
NC,NEW CALEDONIA,44000,1376829,246500,7525845
NZ,NEW ZEALAND,1000000,34771272,5745675,184840018
NG,NIGERIA,323000,7004202,1394000,29939562
OM,OMAN,0,0,24750,744832
PK,PAKISTAN,7800,553049,65675,2797878
PG,PAPUA NEW GUINEA,28400,1168090,161050,6500329
PH,PHILIPPINES,1268500,35187682,6756125,180940701
PL,POLAND,49500,1538036,679250,20396855
QA,QATAR,105000,2986380,700000,19063514
RE,REUNION,24000,903980,166975,6301400
RO,ROMANIA,15000,539449,105000,3687460
RU,RUSSIAN FEDERATION,24000,717115,1152575,33346269
WS,SAMOA,0,0,14200,581817
SA,SAUDI ARABIA,0,0,17500,550041
SN,SENEGAL,102700,3290344,547125,20989873
SG,SINGAPORE,24750,746296,370270,17656501
SB,SOLOMON ISLANDS,0,0,27975,1144339
SO,SOMALIA,14200,615407,134000,4463808
ZA,SOUTH AFRICA,187950,5222778,1108550,30832522
LK,SRI LANKA,45000,1490669,444600,13274082
SE,SWEDEN,0,0,215775,8148158
TW,"TAIWAN, PROVINCE OF CHINA",84550,3039383,766375,25607630
TZ,TANZANIA UNITED REPUBLIC OF,148000,4292724,183000,5173633
TL,TIMOR-LESTE,14200,597999,33400,1401142
TG,TOGO,157500,4532602,281500,7627210
TR,TÜRKIYE,14200,556949,124350,5224490
UA,UKRAINE,52500,1354626,1185500,35431777
AE,UNITED ARAB EMIRATES,179300,5677176,2130500,59733120
GB,UNITED KINGDOM,346500,10233767,1658250,47576670
US,UNITED STATES,0,0,22000,731321
VN,VIETNAM,3712675,111596715,42428450,1172131771
YE,YEMEN,0,0,205000,5389712
SUM,SUM,41853450,1236224542,338781844,9302483609
