"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
BD,BANGLADESH,0,0,70500,2618673
BN,BRUNEI DARUSSALAM,0,0,12000,507014
CN,CHINA,0,0,137425,5337913
IN,INDIA,32000,1871102,82000,4747817
ID,INDONESIA,415054,17871211,2406054,104382024
JP,JAPAN,125,3875,1132,67602
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",20,9065,59,32135
TR,TÜRKIYE,6000,468737,10800,838174
US,UNITED STATES,7400,593020,19425,1525138
VN,VIETNAM,0,0,100,16711
SUM,SUM,460599,20817010,2742306,120352287
