"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
CN,CHINA,58225,6150170,108774,12429394
IN,INDIA,260900,22349326,468478,39032903
ID,INDONESIA,34000,2819356,85000,6965313
KR,"KOREA,REPUBLIC OF",0,0,15000,1065230
MY,MALAYSIA,19575,2128624,37075,3348651
NO,NORWAY,0,0,4,62
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,1689909
US,UNITED STATES,0,0,36000,3134670
VN,VIETNAM,22500,1594292,27625,2334664
SUM,SUM,395200,35041768,801956,70000796
