"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,13020,1590716
BD,BANGLADESH,49500,5782702,252538,25133236
BE,BELGIUM,318600,34205862,1434600,154657583
KH,CAMBODIA,475,65000,86117,15932287
CN,CHINA,81405,7800933,1368904,80332288
EG,EGYPT,0,0,24125,2386093
DE,GERMANY,60,6000,60,6000
HK,HONG KONG,7,34,5217,506918
IN,INDIA,432930,39926618,2914500,263661360
ID,INDONESIA,204625,20789277,1091655,102087511
JP,JAPAN,44512,3959142,241444,19156820
KR,"KOREA,REPUBLIC OF",3050,356604,67525,5793767
LA,LAO PDR,195,39465,763,160084
MY,MALAYSIA,47225,5840540,213143,25097926
MU,MAURITIUS,81000,2573935,243000,7491890
MM,MYANMAR,1710,95580,5146,441278
PK,PAKISTAN,0,0,1500,343665
PH,PHILIPPINES,29100,2974251,58180,5855547
SA,SAUDI ARABIA,0,0,217675,18915966
SG,SINGAPORE,0,0,25,288
ZA,SOUTH AFRICA,41000,3390384,259100,22075433
LK,SRI LANKA,0,0,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",70000,8202352,308475,34621759
AE,UNITED ARAB EMIRATES,60000,1687939,379150,22887823
US,UNITED STATES,0,0,10000,752588
VN,VIETNAM,73750,6079333,310104,26549148
SUM,SUM,1539144,143775951,9507433,836470260
